 ,Restaurant,Number,DateNumber,Weight,Type,Note,Primary category,Single Ingredient?,Meat Y/N/U,Ingredients,Content 1,Content 2,Content 3,Content 4,Content 5,,,,,,,,,,,,
06/11/23,#N/A,1179,06/11/20231179,19.2,Pre,,Fruit Byproduct,Y,N,fruit discard,fruit discard,,,,,,,#N/A,,,,,,,,,Raw Poultry Discard
06/11/23,Electric Beets,2016,06/11/20232016,11.6,Pre,,Fruit Byproduct,Y,N,fruit and veg ,fruit and veg ,,,,,,,High Generator,,,,,,,,,Red Meat Discard
06/11/23,#N/A,31,06/11/202331,3,Pre,,"Bread, Baked Items",Y,N,bread,bread,,,,,,,#N/A,,,,,,,,,"Plate Scrapings: Pasta, Bread, Potato"
06/11/23,LaLou,714,06/11/2023714,8.8,Pre,,"Bread, Baked Items",Y,N,bread,bread,,,,,,,Med Generator,,,,,,,,,"Vegetable: Stalks, Ends"
06/11/23,#N/A,2021,06/11/20232021,40.2,Post,,Plate Scrapings: Generic,N,Y,"bean, meats, veg",bean, meats, veg,,,,,#N/A,,,,,,,,,Vegetable: Peels
06/11/23,Miss Ada,882,06/11/2023882,18,Post,,Plate Scrapings: Generic,N,U,"rice, pre-vegetable",rice, pre-vegetable,,,,,,Med Generator,,,,,,,,,Plate Scrapings: Generic
06/11/23,Margot,328,06/11/2023328,11.2,Pre,,Vegetable Scrap: Generic,Y,N,vegetable scrap,vegetable scrap,,,,,,,Med Generator,,,,,,,,,Fruit Byproduct
06/11/23,Margot,2392,06/11/20232392,8.8,Pre,,Vegetable Scrap: Generic,Y,N,"cooked peppers, veg scrap",cooked peppers, veg scrap,,,,,,Med Generator,,,,,,,,,Landscaping Discard
06/11/23,Colonie,1404,06/11/20231404,11,Pre,,Mixed Streams,N,N,"oyster shells, egg shells",oyster shells, egg shells,,,,,,High Generator,,,,,,,,,Oil
06/11/23,Roman's,2010,06/11/20232010,16.8,Pre,,"Vegetable: Stalks, Ends",Y,N,"olives, chard scrap",olives, chard scrap,,,,,,Low Generator,,,,,,,,,Foliage
06/11/23,Colonie,177,06/11/2023177,13.6,Pre,,Eggshells,N,N,"egg shells, cheese",egg shells, cheese,,,,,,High Generator,,,,,,,,,Plate Scrapings: No Meat
06/11/23,Fausto,528,06/11/2023528,12.6,Pre,,"Vegetable: Stalks, Ends",Y,N,"vegetable scrap, lettuce",vegetable scrap, lettuce,,,,,,High Generator,,,,,,,,,Vegetable Scrap: Generic
06/11/23,Bar Vinazo,1235,06/11/20231235,16.6,Pre,,Mixed Streams,N,N,"fennel, lemons, limes, egg shells",fennel, lemons, limes, egg shells,,,,High Generator,,,,,,,,,Juicery Pulp
06/11/23,Margot,2217,06/11/20232217,10,Mixed,,Mixed Streams,N,U,"shrimp, eggshells, lettuce",shrimp, eggshells, lettuce,,,,,Med Generator,,,,,,,,,Mixed Streams
06/11/23,LaLou,795,06/11/2023795,8.6,Pre,,"Bread, Baked Items",Y,N,bread,bread,,,,,,,Med Generator,,,,,,,,,
06/11/23,#N/A,2344,06/11/20232344,16,Pre,,"Vegetable: Stalks, Ends",Y,N,corn husks,corn husks,,,,,,,#N/A,,,,,,,,,
06/11/23,Diner,2403,06/11/20232403,18,Post,,"Plate Scrapings: Pasta, Bread, Potato",N,U,"plate scrapings, potato bread ",plate scrapings, potato bread ,,,,,,High Generator,,,,,,,,,
06/11/23,Glasserie,339,06/11/2023339,35.8,Mixed,,Plate Scrapings: Generic,N,U,"falafel leftover, cooked vegetable, fish",falafel leftover, cooked vegetable, fish,,,,,High Generator,,,,,,,,,
06/11/23,Diner,1560,06/11/20231560,21.4,Mixed,,Mixed Streams,N,U,"fish prep, cheese bread, bad bread",fish prep, cheese bread, bad bread,,,,,High Generator,,,,,,,,,
06/11/23,Colonie,1275,06/11/20231275,23.8,Pre,,"Vegetable: Stalks, Ends",N,N,"vegetable scrap, oyster shell",vegetable scrap, oyster shell,,,,,,High Generator,,,,,,,,,
06/11/23,Colonie,1507,06/11/20231507,26,Pre,,Mixed Streams,N,N,"vegetable pulp, fruit pulp",vegetable pulp, fruit pulp,,,,,,High Generator,,,,,,,,,
06/11/23,Roman's,1321,06/11/20231321,30.4,Pre,,Citrus Peels / Skins,Y,N,"citrus lemons, limes, onions",citrus lemons, limes, onions,,,,,Low Generator,,,,,,,,,
06/11/23,#N/A,1454,06/11/20231454,11,Pre,,"Vegetable: Stalks, Ends",Y,N,"vegetable scrap, lettuce",vegetable scrap, lettuce,,,,,,#N/A,,,,,,,,,
06/11/23,Electric Beets,1475,06/11/20231475,16.8,Mixed,,Plate Scrapings: Generic,N,U,"vegetable scrap, plate scrapings, coffee grounds",vegetable scrap, plate scrapings, coffee grounds,,,,,High Generator,,,,,,,,,
06/11/23,#N/A,135,06/11/2023135,6,Pre,,"Bread, Baked Items",Y,N,bread,bread,,,,,,,#N/A,,,,,,,,,
06/11/23,#N/A,- ,06/11/2023- ,24,Pre,,Citrus Peels / Skins,Y,N,citrus limes,citrus limes,,,,,,,#N/A,,,,,,,,,
06/11/23,The Fly,858,06/11/2023858,26,Mixed,,Plate Scrapings: Generic,N,U,"egg shells, lemons, bread, plate scrapings",egg shells, lemons, bread, plate scrapings,,,,Low Generator,,,,,,,,,
06/11/23,Diner,588,06/11/2023588,18.2,Pre,,"Vegetable: Stalks, Ends",N,N,"vegetable scrap, eggshells",vegetable scrap, eggshells,,,,,,High Generator,,,,,,,,,
06/11/23,Glasserie,2186,06/11/20232186,23.4,Meat,,Red Meat Discard,Y,Y,cooked beef,cooked beef,,,,,,,High Generator,,,,,,,,,
06/11/23,Diner,2310,06/11/20232310,29.8,Mixed,,Mixed Streams,N,U,"vegetable scrap, plate scrapings",vegetable scrap, plate scrapings,,,,,,High Generator,,,,,,,,,
06/11/23,Margot,154,06/11/2023154,7,Pre,,Citrus Peels / Skins,Y,N,limes,limes,,,,,,,Med Generator,,,,,,,,,
06/11/23,Clementine's (Classon Ave),1033,06/11/20231033,23.4,Pre,,Coffee Grounds,Y,N,coffee grounds,coffee grounds,,,,,,,High Generator,,,,,,,,,
06/11/23,Four Horsemen,890,06/11/2023890,16.6,Pre,,"Vegetable: Stalks, Ends",Y,N,"vegetable scrap, lettuce",vegetable scrap, lettuce,,,,,,High Generator,,,,,,,,,
06/11/23,The Fly,4003,06/11/20234003,12.6,Pre,,"Vegetable: Stalks, Ends",Y,N,vegetable scrap,vegetable scrap,,,,,,,Low Generator,,,,,,,,,
06/11/23,Speedy Romeo,1373,06/11/20231373,23.4,Pre,,"Vegetable: Stalks, Ends",Y,N,vegetable scrap,vegetable scrap,,,,,,,Low Generator,,,,,,,,,
06/11/23,Roman's,397,06/11/2023397,28.2,Mixed,,Plate Scrapings: Generic,N,U,"plate scrapings, muscle shells, salad, eggshells",plate scrapings, muscle shells, salad, eggshells,,,,Low Generator,,,,,,,,,
06/11/23,Margot,473,06/11/2023473,8.4,Pre,,"Vegetable: Stalks, Ends",N,N,"vegetable scrap, eggshells",vegetable scrap, eggshells,,,,,,Med Generator,,,,,,,,,
06/11/23,Rhodora,1098,06/11/20231098,8,Pre,,Mixed Streams,N,N,"vegetable scrap, bread",vegetable scrap, bread,,,,,,Med Generator,,,,,,,,,
06/11/23,Roman's,2353,06/11/20232353,9.8,Pre,,Vegetable Scrap: Generic,Y,N,"vegetable scrap, lettuce",vegetable scrap, lettuce,,,,,,Low Generator,,,,,,,,,
06/11/23,Poppy's Catering (nextdoor to Alma),945,06/11/2023945,29.6,Pre,,Mixed Streams,N,N,"fish byproduct, eggshells, fruit scrap, vegetable scrap, bread",fish byproduct, eggshells, fruit scrap, vegetable scrap, bread,,,Med Generator,,,,,,,,,
06/11/23,Colonie,1160,06/11/20231160,14.4,Pre,,Mixed Streams,N,N,"eggshells, vegetable scrap, cheese",eggshells, vegetable scrap, cheese,,,,,High Generator,,,,,,,,,
06/11/23,Margot,1015,06/11/20231015,8.8,Mixed,,Plate Scrapings: Generic,N,U,"vegetable scrap, bread, paper, salad",vegetable scrap, bread, paper, salad,,,,Med Generator,,,,,,,,,
06/11/23,Clementine's (Classon Ave),433,06/11/2023433,33.8,Pre,,Coffee Grounds,Y,N,coffee grounds,coffee grounds,,,,,,,High Generator,,,,,,,,,
06/11/23,Four Horsemen,2368,06/11/20232368,25.6,Pre,,Mixed Streams,N,N,"vegetable scrap, fruit scrap",vegetable scrap, fruit scrap,,,,,,High Generator,,,,,,,,,
06/11/23,The Fly,2374,06/11/20232374,33.6,Post,,Plate Scrapings: Generic,N,Y,"plate scrapings, meats, breads",plate scrapings, meats, breads,,,,,Low Generator,,,,,,,,,
06/11/23,Speedy Romeo,1596,06/11/20231596,24.6,Post,,Plate Scrapings: Generic,N,Y,"plate scrapings, chicken bones, sauces",plate scrapings, chicken bones, sauces,,,,,Low Generator,,,,,,,,,
06/11/23,LaLou,999,06/11/2023999,8,Pre,,Fruit Byproduct,Y,N,fruit ,fruit ,,,,,,,Med Generator,,,,,,,,,
06/11/23,#N/A,1357,06/11/20231357,21.3,Pre,,Mixed Streams,N,U,"gluten starter, shrimp peeling, bread",gluten starter, shrimp peeling, bread,,,,,#N/A,,,,,,,,,
06/11/23,Rhodora,1355,06/11/20231355,21.4,Post,,Plate Scrapings: Generic,Y,U,"plate scrapings, bread, vegetable, cheese",plate scrapings, bread, vegetable, cheese,,,,Med Generator,,,,,,,,,
06/11/23,Roman's,212,06/11/2023212,30.6,Post,,"Plate Scrapings: Pasta, Bread, Potato",N,U,"plate scrapings, pasta, mussle shells pre consumer vegetable",plate scrapings, pasta, mussle shells pre consumer vegetable,,,,,Low Generator,,,,,,,,,
06/11/23,Poppy's Catering (nextdoor to Alma),1478,06/11/20231478,30.6,Mixed,,Plate Scrapings: Generic,N,N,"vegetable fish, salad scrapings",vegetable fish, salad scrapings,,,,,,Med Generator,,,,,,,,,
06/11/23,Diner,883,06/11/2023883,31.4,Post,,"Plate Scrapings: Pasta, Bread, Potato",N,U,"plate scrapings, fries, potatos",plate scrapings, fries, potatos,,,,,High Generator,,,,,,,,,
06/11/23,Clementine's (Classon Ave),1064,06/11/20231064,15.6,Pre,,"Vegetable: Stalks, Ends",Y,N,vegetable prep,vegetable prep,,,,,,,High Generator,,,,,,,,,
06/11/23,Four Horsemen,961,06/11/2023961,15.6,Mixed,,Mixed Streams,N,U,"vegetable prep, eggshells, post sauces",vegetable prep, eggshells, post sauces,,,,,High Generator,,,,,,,,,
06/11/23,Clementine's (Classon Ave),1381,06/11/20231381,11.2,Pre,,"Bread, Baked Items",Y,N,bread,bread,,,,,,,High Generator,,,,,,,,,
06/11/23,Gran Electrica,1598,06/11/20231598,15.6,Pre,,Mixed Streams,N,N,"corn husks, citrus",corn husks, citrus,,,,,,Med Generator,,,,,,,,,
06/11/23,Speedy Romeo,19,06/11/202319,26.2,Mixed,,Mixed Streams,N,U,"vegetable prep, plate scrapings, pizza, bread",vegetable prep, plate scrapings, pizza, bread,,,,Low Generator,,,,,,,,,
06/11/23,LaLou,963,06/11/2023963,14.8,Pre,,Mixed Streams,N,N,"bread, mushroom, onion, vegetable prep ",bread, mushroom, onion, vegetable prep ,,,,Med Generator,,,,,,,,,
06/11/23,Colonie,1086,06/11/20231086,20.8,Pre,,Mixed Streams,N,N,"vegetable prep, eggshells",vegetable prep, eggshells,,,,,,High Generator,,,,,,,,,
06/11/23,Poppy's Catering (nextdoor to Alma),848,06/11/2023848,28.6,Pre,,Mixed Streams,N,N,"fish prep, eggshells, vegetable scrap ",fish prep, eggshells, vegetable scrap ,,,,,Med Generator,,,,,,,,,
06/11/23,Fausto,4005,06/11/20234005,12,Pre,,Mixed Streams,N,N,"vegetable prep, scallions, mushrooms ",vegetable prep, scallions, mushrooms ,,,,,High Generator,,,,,,,,,
06/11/23,June Wine Bar,1200,06/11/20231200,20.8,Mixed,,"Plate Scrapings: Pasta, Bread, Potato",N,U,"bread, turnips, plate scrapings, pasta",bread, turnips, plate scrapings, pasta,,,,Med Generator,,,,,,,,,
06/11/23,Bar Vinazo,802,06/11/2023802,17.6,Pre,,Vegetable Scrap: Generic,N,N,"vegetable prep, peas, carrots, potato peelings, bread",vegetable prep, peas, carrots, potato peelings, bread,,,High Generator,,,,,,,,,
06/11/23,Clementine's (Classon Ave),1371,06/11/20231371,30.6,Pre,,Coffee Grounds,Y,N,coffee grounds,coffee grounds,,,,,,,High Generator,,,,,,,,,
06/11/23,Gran Electrica,6,06/11/20236,21.4,Pre,,Vegetable Scrap: Generic,Y,N,"avocado, citrus ",avocado, citrus ,,,,,,Med Generator,,,,,,,,,
06/11/23,Speedy Romeo,782,06/11/2023782,33.2,Post,,Plate Scrapings: Generic,N,Y,"plate scrapings, bread, meat",plate scrapings, bread, meat,,,,,Low Generator,,,,,,,,,
06/11/23,LaLou,919,06/11/2023919,22.2,Post,,Mixed Streams,N,U,"bread, oyster shells, veg ",bread, oyster shells, veg ,,,,,Med Generator,,,,,,,,,
06/11/23,Bar Vinazo,1129,06/11/20231129,17,Post,,"Plate Scrapings: Pasta, Bread, Potato",N,U,"plate scrapings, bread, pasta, rice",plate scrapings, bread, pasta, rice,,,,High Generator,,,,,,,,,
06/11/23,June Wine Bar,4,06/11/20234,18,Mixed,,Plate Scrapings: Generic,Y,U,"plate scrapings, vegetable prep",plate scrapings, vegetable prep,,,,,,Med Generator,,,,,,,,,
06/11/23,Fausto,2313,06/11/20232313,20,Pre,,Citrus Peels / Skins,Y,N,citrus lemons,citrus lemons,,,,,,,High Generator,,,,,,,,,
06/11/23,Poppy's Catering (nextdoor to Alma),1366,06/11/20231366,30,Meat,,Red Meat Discard,Y,Y,raw beef,raw beef,,,,,,,Med Generator,,,,,,,,,
06/11/23,June Wine Bar,4001,06/11/20234001,15.4,Mixed,,Plate Scrapings: Generic,N,U,"vegetable prep, plate scrapings, bread potato",vegetable prep, plate scrapings, bread potato,,,,,Med Generator,,,,,,,,,
06/11/23,Poppy's Cafe,910,06/11/2023910,25.2,Pre,,Coffee Grounds,Y,N,coffee grounds,coffee grounds,,,,,,,Med Generator,,,,,,,,,
06/11/23,#N/A,-,06/11/2023-,31,Meat,,Red Meat Discard,N,Y,meat discard and byproduct ,meat discard and byproduct ,,,,,,,#N/A,,,,,,,,,
06/11/23,#N/A,868,06/11/2023868,24,Post,,Plate Scrapings: Generic,N,U,"plate scrapings, bread, veg, pasta, mussles ",plate scrapings, bread, veg, pasta, mussles ,,,#N/A,,,,,,,,,
06/11/23,#N/A,1558,06/11/20231558,23,Post,,Plate Scrapings: Generic,N,U,"oyster shells, bread, citrus, vegetable",oyster shells, bread, citrus, vegetable,,,,#N/A,,,,,,,,,
06/11/23,Poppy's Cafe,182,06/11/2023182,8,Pre,,Mixed Streams,N,N,"baked goods, fruit prep",baked goods, fruit prep,,,,,,Med Generator,,,,,,,,,
06/11/23,June Wine Bar,580,06/11/2023580,24.4,Mixed,,Mixed Streams,N,U,"bread, eggshells, vegetable plate scrapings",bread, eggshells, vegetable plate scrapings,,,,,Med Generator,,,,,,,,,
06/11/23,Poppy's Catering (nextdoor to Alma),601,06/11/2023601,34.6,Post,,Plate Scrapings: Generic,N,U,"plate scrapings, cooked vegetables",plate scrapings, cooked vegetables,,,,,,Med Generator,,,,,,,,,
06/11/23,Poppy's Cafe,1048,06/11/20231048,21.6,Pre,,Mixed Streams,N,N,"vegetable prep, bread",vegetable prep, bread,,,,,,Med Generator,,,,,,,,,
06/11/23,Roman's,2301,06/11/20232301,31.6,Post,,Plate Scrapings: Generic,N,Y,"plate scrapings, bread, mussles, meat, past",plate scrapings, bread, mussles, meat, past,,,Low Generator,,,,,,,,,
06/11/23,Bar Vinazo,463,06/11/2023463,11.2,Mixed,,Mixed Streams,N,Y,"vegetable scrap, peas, meat discard",vegetable scrap, peas, meat discard,,,,,High Generator,,,,,,,,,
06/11/23,Roman's,224,06/11/2023224,21,Post,,Plate Scrapings: Generic,N,Y,"plate scrapings, bread, mussles, meat, past",plate scrapings, bread, mussles, meat, past,,,Low Generator,,,,,,,,,
06/11/23,#N/A,55,06/11/202355,21.6,Pre,,"Bread, Baked Items",Y,N,"baked goods, dough",baked goods, dough,,,,,,#N/A,,,,,,,,,
06/11/23,Poppy's Catering (nextdoor to Alma),246,06/11/2023246,8,Mixed,,Mixed Streams,N,N,"cooked vegetable, citrus, bread",cooked vegetable, citrus, bread,,,,,Med Generator,,,,,,,,,
06/11/23,LaLou,587,06/11/2023587,16.4,Mixed,,Mixed Streams,N,Y,"Bread, meat prep",Bread, meat prep,,,,,,Med Generator,,,,,,,,,
06/11/23,Diner,1025,06/11/20231025,13.2,Pre,,Mixed Streams,N,N,"bread, flour, eggshells, baking ingredients",bread, flour, eggshells, baking ingredients,,,,High Generator,,,,,,,,,
06/11/23,#N/A,23,06/11/202323,15,Pre,,"Vegetable: Stalks, Ends",Y,N,"vegetable prep, stalks, cabbage",vegetable prep, stalks, cabbage,,,,,#N/A,,,,,,,,,
06/11/23,LaLou,1069,06/11/20231069,8.8,Pre,,Mixed Streams,N,N,"bread, vegetable prep",bread, vegetable prep,,,,,,Med Generator,,,,,,,,,
06/11/23,Diner,1457,06/11/20231457,28,Mixed,,Mixed Streams,N,U,"coffee grounds, plate scrapings",coffee grounds, plate scrapings,,,,,,High Generator,,,,,,,,,
06/11/23,Four Horsemen,1318,06/11/20231318,36.6,Post,,Plate Scrapings: Generic,N,U,"plate scrapings, shrimp, potato, brocoli",plate scrapings, shrimp, potato, brocoli,,,,High Generator,,,,,,,,,
06/11/23,Dawn's UNTIL DUSK,1580,06/11/20231580,32.8,Pre,,Coffee Grounds,Y,N,coffee grounds,coffee grounds,,,,,,,High Generator,,,,,,,,,
06/11/23,Gran Electrica,1074,06/11/20231074,18.8,Pre,,"Vegetable: Stalks, Ends",N,N,"citrus limes, corn husks",citrus limes, corn husks,,,,,,Med Generator,,,,,,,,,
06/11/23,Miss Ada,173,06/11/2023173,17.4,Post,,Plate Scrapings: Generic,N,U,"plate scrapings, bread",plate scrapings, bread,,,,,,Med Generator,,,,,,,,,
06/11/23,LaLou,1013,06/11/20231013,12.6,Meat,,Cooked Poultry Discard,Y,Y,broth discard,broth discard,,,,,,,Med Generator,,,,,,,,,
06/11/23,Diner,1590,06/11/20231590,18.2,Pre,,Mixed Streams,N,U,"vegetable prep, green stalks, squid, fish",vegetable prep, green stalks, squid, fish,,,,High Generator,,,,,,,,,
06/11/23,Dawn's UNTIL DUSK,296,06/11/2023296,36.4,Pre,,Coffee Grounds,Y,N,coffee,coffee,,,,,,,High Generator,,,,,,,,,
06/11/23,Gran Electrica,512,06/11/2023512,22.2,Pre,,Fruit Byproduct,Y,N,citrus orange,citrus orange,,,,,,,Med Generator,,,,,,,,,
06/11/23,Miss Ada,2140,06/11/20232140,21,Post,,Plate Scrapings: Generic,N,U,"plate scrapings, bread, olives, citrus",plate scrapings, bread, olives, citrus,,,,Med Generator,,,,,,,,,
06/11/23,LaLou,930,06/11/2023930,24.4,Post,,Plate Scrapings: Generic,N,U,"plate scrapings, oyster shells, bread, peas",plate scrapings, oyster shells, bread, peas,,,,Med Generator,,,,,,,,,
06/11/23,Miss Ada,608,06/11/2023608,31.8,Meat,,Red Meat Discard,Y,Y,raw beef,raw beef,,,,,,,Med Generator,,,,,,,,,
06/11/23,The Fly,2020,06/11/20232020,15.2,Pre,,"Vegetable: Stalks, Ends",Y,N,"vegetable prep, lettuce",vegetable prep, lettuce,,,,,,Low Generator,,,,,,,,,
06/11/23,Clementine's (Classon Ave),583,06/11/2023583,21,Mixed,,Plate Scrapings: Generic,N,N,"vegetable prep, beans, plate scrapings",vegetable prep, beans, plate scrapings,,,,,High Generator,,,,,,,,,
06/11/23,Diner,1181,06/11/20231181,19.6,Mixed,,Plate Scrapings: Generic,N,N,"vegetable prep, lettuce, plate scrapings, chicken bones",vegetable prep, lettuce, plate scrapings, chicken bones,,,,High Generator,,,,,,,,,
06/11/23,#N/A,15858,06/11/202315858,27.4,Post,**HIGH CONTAMINATION,"Plate Scrapings: Pasta, Bread, Potato",N,U,"plate scrapings, bread, olives",plate scrapings, bread, olives,,,,,#N/A,,,,,,,,,
06/11/23,Speedy Romeo,2018,06/11/20232018,21,Pre,,Vegetable Scrap: Generic,Y,N,"vegetable scrap, lettuce, cheese rind",vegetable scrap, lettuce, cheese rind,,,,,Low Generator,,,,,,,,,
06/11/23,Clementine's (Classon Ave),455,06/11/2023455,19.6,Pre,,Vegetable Scrap: Generic,N,N,"coffee grounds, vegetable stalks",coffee grounds, vegetable stalks,,,,,,High Generator,,,,,,,,,
06/11/23,#N/A,837,06/11/2023837,28.4,Post,,Plate Scrapings: Generic,N,U,"plate scrapings, frieds, bread, salad",plate scrapings, frieds, bread, salad,,,,#N/A,,,,,,,,,
06/11/23,Poppy's Cafe,208,06/11/2023208,,Pre,,"Bread, Baked Items",N,N,"baking materials, cake, eggs, ",baking materials, cake, eggs, ,,,,Med Generator,,,,,,,,,
06/11/23,Poppy's Catering (nextdoor to Alma),766,06/11/2023766,,Pre,,Mixed Streams,N,N,"bread crumbs, artichokes",bread crumbs, artichokes,,,,,,Med Generator,,,,,,,,,
06/11/23,LaLou,1417,06/11/20231417,,Pre,,Vegetable Scrap: Generic,N,N,"bread, vegetable prep",bread, vegetable prep,,,,,,Med Generator,,,,,,,,,
06/11/23,Poppy's Catering (nextdoor to Alma),330,06/11/2023330,,Pre,,"Vegetable: Stalks, Ends",Y,N,vegetable prep,vegetable prep,,,,,,,Med Generator,,,,,,,,,
06/11/23,Roman's,487,06/11/2023487,,Pre,,Vegetable Scrap: Generic,Y,N,"vegetable prep, chard",vegetable prep, chard,,,,,,Low Generator,,,,,,,,,
06/11/23,Poppy's Catering (nextdoor to Alma),137,06/11/2023137,,Pre,,Vegetable Scrap: Generic,Y,N,"vegetable prep, beans",vegetable prep, beans,,,,,,Med Generator,,,,,,,,,
06/11/23,Glasserie,2121,06/11/20232121,,Post,,Plate Scrapings: Generic,N,U,plate scrapings,plate scrapings,,,,,,,High Generator,,,,,,,,,
06/11/23,Roman's,718,06/11/2023718,,Post,,Mixed Streams,N,U,"shells, plate scrapings, vegetable prep",shells, plate scrapings, vegetable prep,,,,,Low Generator,,,,,,,,,
06/11/23,Miss Ada,2306,06/11/20232306,,Meat,,Mixed Streams,N,Y,"fish, raw chicken",fish, raw chicken,,,,,,Med Generator,,,,,,,,,
06/11/23,Gran Electrica,1535,06/11/20231535,,Pre,,Vegetable Scrap: Generic,N,N,"vegetable prep, avocado pits, onion",vegetable prep, avocado pits, onion,,,,,Med Generator,,,,,,,,,
06/21/23,Colonie,140,06/21/2023140,,Mixed,,Mixed Streams,N,N,"vegetable prep,bread",vegetable prep,bread,,,,,,High Generator,,,,,,,,,
06/21/23,#N/A,,06/21/2023,,Pre,,General Carbs/Starches,N,N,"pasta, eggshells",pasta, eggshells,,,,,,#N/A,,,,,,,,,
06/21/23,#N/A,,06/21/2023,,Pre,,Mixed Streams,N,N,"grains, vegetable, shells ",grains, vegetable, shells ,,,,,#N/A,,,,,,,,,
06/21/23,#N/A,429,06/21/2023429,,Post,,Mixed Streams,N,N,"vegetale scrap, pita bread",vegetale scrap, pita bread,,,,,,#N/A,,,,,,,,,
06/21/23,#N/A,297,06/21/2023297,,Pre,,Vegetable Scrap: Generic,N,N,"onion peepls, citrus, vegetable scrap ",onion peepls, citrus, vegetable scrap ,,,,,#N/A,,,,,,,,,
06/21/23,Poppy's Cafe,1062,06/21/20231062,,Pre,,General Carbs/Starches,N,N,"dough, bread, eggshells",dough, bread, eggshells,,,,,Med Generator,,,,,,,,,
06/21/23,Colonie,97,06/21/202397,,Pre,,Vegetable Scrap: Generic,Y,N,"vegetable prep, pea shoots",vegetable prep, pea shoots,,,,,,High Generator,,,,,,,,,
06/21/23,Poppy's Cafe,134,06/21/2023134,,Pre,,Coffee Grounds,Y,N,coffee grounds ,coffee grounds ,,,,,,,Med Generator,,,,,,,,,
06/21/23,June Wine Bar,44,06/21/202344,,Mixed,,Mixed Streams,N,N,"bread, corn cobs, vegetable prep, bread + grain plate scrapings",bread, corn cobs, vegetable prep, bread + grain plate scrapings,,,,Med Generator,,,,,,,,,
06/21/23,LaLou,365,06/21/2023365,,Post,,Mixed Streams,N,U,"oyster shells, citrus, ",oyster shells, citrus, ,,,,,Med Generator,,,,,,,,,
06/21/23,June Wine Bar,244,06/21/2023244,,Pre,,"Vegetable: Stalks, Ends",Y,N,"corn husks, vegetable prep, ",corn husks, vegetable prep, ,,,,,Med Generator,,,,,,,,,
06/21/23,Miss Ada,2395,06/21/20232395,,Post,,"Plate Scrapings: Pasta, Bread, Potato",N,U,"plate scrappings, breads and dough ",plate scrappings, breads and dough ,,,,,,Med Generator,,,,,,,,,
06/21/23,#N/A,962,06/21/2023962,,Pre,,General Carbs/Starches,N,N,"baking material, dough, custoard, breads, cakes",baking material, dough, custoard, breads, cakes,,,#N/A,,,,,,,,,
06/21/23,Colonie,1016,06/21/20231016,,Pre,,Fruit Byproduct,Y,N,citrus prep ,citrus prep ,,,,,,,High Generator,,,,,,,,,
